TrackID,Song,Artist,ReleaseYear,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,DurationMS,TimeSignature,Region
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,2016,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,206693,4,Western
6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,2016,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,225983,4,Western
0mBKv9DkYfQHjdMcw2jdyI,Chunky,Bruno Mars,2016,0.571,0.539,5,-4.446,0,0.116,0.0208,0.0,0.125,0.727,202.103,186973,4,Western
5XMkENs3GfeRza8MfVAhjK,Finesse,Bruno Mars,2016,0.741,0.798,5,-5.342,0,0.0718,0.00781,0.0,0.0232,0.939,104.953,191000,4,Western
3Vo4wInECJQuz9BIBMOu8i,Finesse - Remix; feat. Cardi B,Bruno Mars,2017,0.704,0.859,5,-4.877,0,0.0996,0.0185,0.0,0.0215,0.926,105.115,217289,4,Western
55h7vJchibLdUkxdlX3fK7,Treasure,Bruno Mars,2012,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,178560,4,Western
46eu3SBuFCXWsPT39Yg3tJ,Don't Stop 'Til You Get Enough,Michael Jackson,1979,0.878,0.821,11,-9.875,1,0.089,0.126,0.0461,0.183,0.947,118.881,365467,4,Western
7oOOI85fVQvVnK5ynNMdW7,Rock with You - Single Version,Michael Jackson,1979,0.808,0.535,1,-12.521,1,0.0353,0.179,9.91e-05,0.158,0.848,114.031,220627,4,Western
0sKlV58cODrjxGFOyf9IXY,The Way You Make Me Feel - 2012 Remaster,Michael Jackson,1987,0.877,0.854,1,-4.523,1,0.147,0.0544,5.5e-05,0.144,0.54,114.472,298120,4,Western
5lWFrW5T3JtxVCLDb7etPu,Bad - 2012 Remaster,Michael Jackson,1987,0.787,0.889,8,-3.786,1,0.0397,0.00462,0.423,0.0665,0.394,114.091,247360,4,Western
5lA3pwMkBdd24StM90QrNR,P.Y.T. (Pretty Young Thing),Michael Jackson,1982,0.888,0.815,11,-4.909,0,0.0404,0.23,0.000424,0.127,0.961,127.273,238733,4,Western
3S2R0EVwBSAVMd5UMgKTL0,Thriller,Michael Jackson,1982,0.773,0.859,11,-4.913,1,0.0747,0.0855,0.00018,0.914,0.813,118.458,357267,4,Western
48td6xvpokdYwvbl3JIiXP,Love Never Felt So Good,Michael Jackson,2014,0.775,0.719,7,-6.212,0,0.0435,0.132,1.79e-06,0.0662,0.712,117.513,246027,4,Western
1hu2s7qkm5bo03eODpRQO3,Wanna Be Startin' Somethin',Michael Jackson,1982,0.842,0.872,9,-8.234,1,0.0455,0.0259,0.419,0.0573,0.906,122.111,363400,4,Western
6BdiFsPMPkSEEO4fFXFVWX,Workin' Day and Night,Michael Jackson,1979,0.907,0.875,7,-11.001,1,0.0635,0.0461,0.00349,0.13,0.865,129.797,313693,4,Western
3zYpRGnnoegSpt3SguSo3W,Off the Wall,Michael Jackson,1979,0.827,0.595,3,-13.909,0,0.0565,0.182,0.0,0.0785,0.921,118.741,246000,4,Western
3qI94hINNNeb4S7xQi18lS,Blame It on the Boogie,The Jacksons,1978,0.774,0.641,1,-10.193,1,0.0799,0.0765,0.0,0.0867,0.875,113.256,214200,4,Western
0nruobjhKItGHfkH3VbTXy,Morning Sun,Robin Thicke,2015,0.551,0.954,1,-5.516,0,0.0419,0.113,0.0012,0.191,0.964,171.975,210027,4,Western
16e3Ly7ddGqqnFDiWWWwnc,Back Together,Robin Thicke,2015,0.736,0.785,10,-5.296,0,0.0694,0.0925,0.0,0.0964,0.774,117.91,224307,4,Western
2grjqo0Frpf2okIBiifQKs,September,"Earth, Wind & Fire",1978,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,215093,4,Western
6ztstiyZL6FXzh4aG46ZPD,Boogie Wonderland,"Earth, Wind & Fire",1979,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,288293,4,Western
3koCCeSaVUyrRo3N2gHrd8,Let's Groove,"Earth, Wind & Fire",1981,0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,339320,4,Western
4yKZACkuudvfd600H2dQie,Get Down On It,Kool & The Gang,1999,0.879,0.626,7,-6.344,1,0.0604,0.205,6.07e-05,0.056,0.968,110.864,212907,4,Western
3K7Q9PHUWPTaknlbFPThn2,Celebration,Kool & The Gang,1980,0.885,0.664,1,-11.795,1,0.0524,0.145,0.0483,0.0767,0.906,121.632,298867,4,Western
4Ymk3pqpkGx19gyxxUj5LK,Ain't No Stoppin' Us Now,McFadden & Whitehead,1979,0.678,0.688,1,-7.83,1,0.0544,0.0611,0.0,0.0671,0.887,114.098,420987,4,Western
7tqhbajSfrz2F7E1Z75ASX,Ain't No Mountain High Enough,Marvin Gaye,1967,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991,151667,4,Western
6VZdUa8JjaGF2LGsiRG9lC,Stomp!,The Brothers Johnson,1980,0.869,0.729,7,-12.668,0,0.0418,0.134,0.269,0.0872,0.917,119.711,380400,4,Western
6VrWy16VpW7rz1XYe3uTRV,少年ハート,Home Made Kazoku,2006,0.762,0.861,10,-6.409,0,0.0446,0.061,0.0,0.203,0.696,117.967,235413,4,Eastern
5tuOqy75JpVHQBprY2hK5v,Lights Up,Khalil Fong,2016,0.393,2.03e-05,0,-7.66,0,0.06,0.0893,0.000787,0.16,0.0703,135.969,1016267,4,Eastern
38upzV6z7t9UmMNg9WFvsh,改變自己,Leehom Wang,2007,0.825,0.587,9,-5.632,1,0.0365,0.0273,0.0,0.0322,0.908,104.503,195760,4,Eastern
5dNfHmqgr128gMY2tc5CeJ,Ignition - Remix,R. Kelly,2003,0.795,0.523,1,-7.165,1,0.0423,0.061,0.0,0.0914,0.855,133.024,186067,4,Western
266hoXlxTshUk4XsNQK5to,Happy People - Album Version with DJ Skit,R. Kelly,2004,0.828,0.586,8,-6.274,1,0.205,0.0811,0.0,0.101,0.802,97.01,469200,4,Western
1Yw06ZblNVjWBiuBLcw5H1,Ladies' Night (Treat Her Like Heaven),R. Kelly,2004,0.79,0.444,7,-7.689,0,0.0801,0.259,1.3e-05,0.478,0.576,97.971,225293,4,Western
